ice_source,region,year,mean,sd
Glaciers,region_2,2048,0.111,0.041
Glaciers,region_3,2048,0.573,0.336
Glaciers,region_4,2048,0.300,0.202
Glaciers,region_5,2048,0.453,0.311
Glaciers,region_6,2048,0.136,0.089
Glaciers,region_7,2048,0.450,0.242
Glaciers,region_8,2048,0.020,0.008
Glaciers,region_9,2048,0.506,0.251
Glaciers,region_10,2048,0.016,0.009
Glaciers,region_11,2048,0.015,0.006
Glaciers,region_12,2048,0.007,0.002
Glaciers,region_13,2048,0.275,0.102
Glaciers,region_14,2048,0.174,0.068
Glaciers,region_15,2048,0.082,0.033
Glaciers,region_16,2048,0.012,0.006
Glaciers,region_17,2048,0.193,0.120
Glaciers,region_18,2048,0.005,0.002
Glaciers,region_19,2048,0.712,0.324
Glaciers,ALL,2048,4.716,0.801
Glaciers,region_1,2049,0.698,0.362
Glaciers,region_2,2049,0.113,0.042
Glaciers,region_3,2049,0.596,0.347
